time,steps,sleep,heartrate
2021-01-08,5932.243351,69,1316.712937615348
2021-01-09,7003.397375,467,2045.9699008759692
2021-01-10,6840.092986,389,1910.447114820029
2021-01-11,8385.085321999999,402,2003.6814269505494
2021-01-12,6103.825638,386,1953.55271066674
2021-01-13,7597.59994,371,1954.9148266437032
2021-01-14,7467.2433759,471,1969.5374930326961
2021-01-15,7128.429644,371,1943.8600491755626
2021-01-16,8355.674742000001,293,1958.455487511696
2021-01-17,5691.9764747,373,1882.7297702748256
2021-01-18,7388.1333079999995,413,1857.0137458776635
2021-01-19,11357.513617,347,2769.3357099786845
2021-01-20,20097.476462,848,3980.1569734969057
2021-01-21,19609.7074322,810,4103.4510477287695
2021-01-22,15437.7388,925,3976.567030390067
2021-01-23,11808.2933161,761,3781.4343957557653
2021-01-24,10689.020263999999,971,3817.3558706473086
2021-01-25,18509.473368000003,1018,4120.554454076812
2021-01-26,16109.197769,794,3896.9130113103656
2021-01-27,14018.641092,982,3859.814266323
2021-01-28,15804.274748,673,3832.1479520012635
2021-01-29,11152.785566999999,721,3739.032290568535
2021-01-30,9493.232248,873,3827.433004891332
2021-01-31,12083.8848984,1024,3721.9657126658544
2021-02-01,15813.922922,951,3910.9251024338737
2021-02-02,18491.819546,1090,4736.500603008313
2021-02-03,17882.224712,1381,5583.042726969004
2021-02-04,20176.7714218,1628,5747.405428033438
2021-02-05,35142.4461269,1449,7815.536010548269
2021-02-06,36203.214691,2502,8876.372383998829
2021-02-07,28708.5877635,2464,8822.79321511887
2021-02-08,48428.106395,2301,9097.332557487953
2021-02-09,42747.044699,2510,10039.875690899411
2021-02-10,54534.8208401,2909,11059.712822553045
2021-02-11,52696.288569000004,2972,10864.996410651383
2021-02-12,49856.6203706,2864,11046.043137142371
2021-02-13,48931.9026246,3604,11628.398206969603
2021-02-14,57964.6817893,3727,12951.723173200615
2021-02-15,71500.395849,3426,13181.171097823233
2021-02-16,60327.4867479,3314,13091.95120298674
2021-02-17,65563.046492,3394,13123.89927604403
2021-02-18,77710.4051625,3729,14261.60769685412
2021-02-19,85155.7998079,3840,15262.303920513454
2021-02-20,69844.5308687,3780,14585.705569888662
2021-02-21,72732.0713449,3530,14630.860423285074
2021-02-22,81059.436894,3876,14805.7869253734
2021-02-23,88268.3850425,3278,14857.49456366908
2021-02-24,79405.7384341,4042,14982.353271135244
2021-02-25,86881.436053,3621,14476.810319295319
2021-02-26,83747.8102461,3191,14422.55009731695
2021-02-27,71327.5593329,4364,14691.515745739502
2021-02-28,64394.795147,4412,14497.691107816523
2021-03-01,67231.2911235,3357,12455.82101854129
2021-03-02,72414.8215834,3074,12057.541516141995
2021-03-03,69393.405465,3590,12793.264319730199
2021-03-04,68553.3020949,3753,13417.630203507368
2021-03-05,72586.7046796,3493,13088.251516173286
2021-03-06,60388.5208374,3892,13725.975194192408
2021-03-07,70567.9824454,4012,12999.16136854472
2021-03-08,78209.2213088,3900,13836.300035831486
2021-03-09,71696.0106208,4336,14605.003317720139
2021-03-10,80759.1216975,4426,16359.232567027415
2021-03-11,78222.0633376,3676,16535.2744447948
2021-03-12,92478.488003,3727,16775.47885836464
2021-03-13,84578.0807039,4594,17142.857135665494
2021-03-14,82630.7527205,5252,16879.441550337426
2021-03-15,86192.368197,4373,17404.565681836215
2021-03-16,69722.004045,3752,13698.259568360854
2021-03-17,75767.1121,3454,14937.058843794306
2021-03-18,83552.967901,4106,15136.4136039863
2021-03-19,76307.1305417,3830,15153.870988571724
2021-03-20,66296.4097448,4453,15208.560632798371
2021-03-21,66297.20982820001,4870,14821.397829316618
2021-03-22,74176.791424,4541,15198.730637646348
2021-03-23,87511.3971526,3785,15476.542076222442
2021-03-24,114283.69803099999,4602,18517.197132697147
2021-03-25,106239.831512,4401,18270.058902679615
2021-03-26,96391.709966,4227,17221.379774630142
2021-03-27,93457.357012,5072,18699.63983989096
2021-03-28,100315.9159133,5822,18324.09774133972
2021-03-29,96936.4007876,4439,18253.138033749736
2021-03-30,99381.0799041,3823,17582.600352201323
2021-03-31,97223.2849276,4957,19004.27279397189
2021-04-01,101884.502223,4181,17134.878417704138
2021-04-02,99260.85842399999,4614,16436.949979091827
2021-04-03,69721.838313,2618,11026.506669400866
2021-04-04,65543.5048123,2881,10530.712815751715
2021-04-05,47839.918752,3499,10726.041119195836
2021-04-06,56011.1579482,2886,11958.610408060113
2021-04-07,59316.757202,2166,10969.82735798605
2021-04-08,68621.5002248,2576,11262.801357336457
2021-04-09,76969.4758449,3307,12846.333775887262
2021-04-10,76248.897392,3129,13124.789003895383
2021-04-11,80993.173869,3750,13128.659667279844
2021-04-12,59175.4573625,4029,12882.352663600403
2021-04-13,67728.464955,3167,13420.682422517255
2021-04-14,75164.265595,3469,14847.192917205331
2021-04-15,90805.5561259,3268,14750.054793825839
2021-04-16,72730.35417,2715,13508.309162668602
2021-04-17,100079.1725337,2652,14707.481140617234
2021-04-18,63656.1272,3312,14333.334313008412
2021-04-19,78482.5408941,3014,13918.05650184593
2021-04-20,86761.4370456,1994,13241.334037283774
2021-04-21,100031.644716,2495,14919.80882916662
2021-04-22,91863.277995,2495,16261.328439053426
2021-04-23,100928.9704463,3064,16341.947294979302
2021-04-24,99300.179488,2941,15817.952456902143
2021-04-25,99932.504393,3590,15686.1776751444
2021-04-26,84007.4330065,3254,15228.74170488118
2021-04-27,101238.854222,3512,16380.67220862085
2021-04-28,84503.6791516,3156,17217.752988769982
2021-04-29,81402.5990783,4218,18889.809327189214
2021-04-30,95703.4939583,4355,19369.864381138577
2021-05-01,61192.255427,4693,18527.0386141316
2021-05-02,61391.595997,4858,18727.637681901426
2021-05-03,90993.9103818,4373,19045.195091831552
2021-05-04,96810.4070584,5449,21672.237535573877
2021-05-05,91468.5615285,5501,22944.954469911736
2021-05-06,99239.3870137,5252,20621.116392753902
2021-05-07,87010.0017263,4663,20199.362129071185
2021-05-08,95979.84809289999,4757,20424.138200653044
2021-05-09,90984.9080675,5293,20482.81142984695
2021-05-10,96073.8012954,4706,20766.151305253283
2021-05-11,83830.9061902,4737,19243.542053513847
2021-05-12,88046.3255522,5355,20609.710271331613
2021-05-13,61574.1948043,5552,19870.59863679327
2021-05-14,87767.5560094,4610,20032.1857472008
2021-05-15,74521.5097252,4859,18698.581157170105
